DATE,TTLCON
1/1/1993,31283
2/1/1993,30264
3/1/1993,33794
4/1/1993,37257
5/1/1993,40124
6/1/1993,43842
7/1/1993,44682
8/1/1993,46866
9/1/1993,47755
10/1/1993,45361
11/1/1993,44786
12/1/1993,39535
1/1/1994,34917
2/1/1994,33222
3/1/1994,38215
4/1/1994,41754
5/1/1994,45711
6/1/1994,49032
7/1/1994,49545
8/1/1994,51516
9/1/1994,51718
10/1/1994,49135
11/1/1994,46719
12/1/1994,40406
1/1/1995,37206
2/1/1995,35250
3/1/1995,40016
4/1/1995,42824
5/1/1995,46615
6/1/1995,49804
7/1/1995,50219
8/1/1995,52628
9/1/1995,53028
10/1/1995,51372
11/1/1995,48163
12/1/1995,41542
1/1/1996,39356
2/1/1996,37391
3/1/1996,42052
4/1/1996,46865
5/1/1996,51598
6/1/1996,54703
7/1/1996,55430
8/1/1996,57488
9/1/1996,58544
10/1/1996,57456
11/1/1996,53498
12/1/1996,45313
1/1/1997,41882
2/1/1997,40788
3/1/1997,45704
4/1/1997,48998
5/1/1997,53617
6/1/1997,56977
7/1/1997,58826
8/1/1997,60682
9/1/1997,61323
10/1/1997,60053
11/1/1997,54968
12/1/1997,48031
1/1/1998,44409
2/1/1998,43150
3/1/1998,49602
4/1/1998,54017
5/1/1998,57723
6/1/1998,64393
7/1/1998,64381
8/1/1998,66137
9/1/1998,66544
10/1/1998,64600
11/1/1998,60469
12/1/1998,53095
1/1/1999,48746
2/1/1999,48824
3/1/1999,55607
4/1/1999,58654
5/1/1999,62209
6/1/1999,67545
7/1/1999,68522
8/1/1999,69975
9/1/1999,70034
10/1/1999,68669
11/1/1999,66684
12/1/1999,59082
1/1/2000,53782
2/1/2000,53993
3/1/2000,61295
4/1/2000,64524
5/1/2000,69253
6/1/2000,72715
7/1/2000,71774
8/1/2000,76132
9/1/2000,75153
10/1/2000,73550
11/1/2000,69677
12/1/2000,60910
1/1/2001,56855
2/1/2001,55529
3/1/2001,62808
4/1/2001,67787
5/1/2001,72920
6/1/2001,78004
7/1/2001,78281
8/1/2001,79916
9/1/2001,76605
10/1/2001,76302
11/1/2001,71543
12/1/2001,63697
1/1/2002,59516
2/1/2002,58588
3/1/2002,63782
4/1/2002,69504
5/1/2002,73384
6/1/2002,77182
7/1/2002,78863
8/1/2002,79460
9/1/2002,76542
10/1/2002,75710
11/1/2002,71362
12/1/2002,63984
1/1/2003,59877
2/1/2003,58526
3/1/2003,64506
4/1/2003,69638
5/1/2003,74473
6/1/2003,80377
7/1/2003,82971
8/1/2003,85191
9/1/2003,83841
10/1/2003,83133
11/1/2003,77915
12/1/2003,71050
1/1/2004,64934
2/1/2004,64138
3/1/2004,73238
4/1/2004,78354
5/1/2004,83736
6/1/2004,89932
7/1/2004,93614
8/1/2004,96164
9/1/2004,92538
10/1/2004,90582
11/1/2004,86394
12/1/2004,77733
1/1/2005,72458
2/1/2005,73094
3/1/2005,81791
4/1/2005,88032
5/1/2005,93704
6/1/2005,100678
7/1/2005,103875
8/1/2005,107453
9/1/2005,104682
10/1/2005,104039
11/1/2005,98348
12/1/2005,88657
1/1/2006,82400
2/1/2006,82381
3/1/2006,92354
4/1/2006,97056
5/1/2006,101862
6/1/2006,106777
7/1/2006,107150
8/1/2006,108598
9/1/2006,103102
10/1/2006,100721
11/1/2006,93850
12/1/2006,85031
1/1/2007,79009
2/1/2007,78501
3/1/2007,87421
4/1/2007,93644
5/1/2007,99690
6/1/2007,105020
7/1/2007,106779
8/1/2007,109573
9/1/2007,104744
10/1/2007,104313
11/1/2007,94934
12/1/2007,84325
1/1/2008,78039
2/1/2008,77921
3/1/2008,83384
4/1/2008,89092
5/1/2008,93316
6/1/2008,97882
7/1/2008,100234
8/1/2008,100366
9/1/2008,97303
10/1/2008,96609
11/1/2008,86093
12/1/2008,77112
1/1/2009,67301
2/1/2009,67030
3/1/2009,71985
4/1/2009,75043
5/1/2009,76661
6/1/2009,82089
7/1/2009,83885
8/1/2009,84426
9/1/2009,82037
10/1/2009,79952
11/1/2009,71527
12/1/2009,64608
1/1/2010,55362
2/1/2010,54986
3/1/2010,60990
4/1/2010,66565
5/1/2010,68903
6/1/2010,74806
7/1/2010,73918
8/1/2010,76554
9/1/2010,75818
10/1/2010,73386
11/1/2010,67318
12/1/2010,60648
1/1/2011,50973
2/1/2011,51017
3/1/2011,57148
4/1/2011,61590
5/1/2011,65430
6/1/2011,72495
7/1/2011,72253
8/1/2011,76986
9/1/2011,75871
10/1/2011,73783
11/1/2011,68203
12/1/2011,62582
1/1/2012,56608
2/1/2012,56994
3/1/2012,61803
4/1/2012,67002
5/1/2012,72228
6/1/2012,77580
7/1/2012,78305
8/1/2012,81152
9/1/2012,79404
10/1/2012,80287
11/1/2012,73071
12/1/2012,66022
1/1/2013,58821
2/1/2013,58898
3/1/2013,64190
4/1/2013,70601
5/1/2013,75775
6/1/2013,80997
7/1/2013,84346
8/1/2013,86776
9/1/2013,85825
10/1/2013,86551
11/1/2013,79695
12/1/2013,73876
1/1/2014,67391
2/1/2014,66916
3/1/2014,73899
4/1/2014,80749
5/1/2014,85599
6/1/2014,90712
7/1/2014,92585
8/1/2014,93261
9/1/2014,93193
10/1/2014,94888
11/1/2014,86262
12/1/2014,80174
1/1/2015,71447
2/1/2015,71159
3/1/2015,79751
4/1/2015,88308
5/1/2015,94756
6/1/2015,102716
7/1/2015,104958
8/1/2015,106856
9/1/2015,106868
10/1/2015,103844
11/1/2015,94876
12/1/2015,86894
1/1/2016,78610
2/1/2016,79903
3/1/2016,88984
4/1/2016,92208
5/1/2016,97620
6/1/2016,105130
7/1/2016,106633
8/1/2016,109097
9/1/2016,107702
10/1/2016,106301
